Question_ID,Transaction_ID,Project_Name,Asset_Class,Country,Deal_Stage,Deal_Type,Question_Theme,Question_Text,Question_Date,Management_Response,Preparedness_Status,Follow_Up_Required,Follow_Up_Action,Final_Resolution,Approval_Outcome,Severity,Frequency_Score,Source_Document,Source_Page,Synthetic_Flag
ICQ-0022,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,Construction risk,Is EPC contingency adequate and is the EPC contract fixed-price and date-certain?,2023-01-24,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,High,0.89,HIST_SOL_003_IC_Minutes.pdf,11,Yes
ICQ-0023,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,Schedule,What is the critical path to COD and which permits remain outstanding?,2023-02-10,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.56,HIST_SOL_003_IC_Minutes.pdf,12,Yes
ICQ-0024,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,Grid,Is the grid-connection agreement executed and are reinforcement costs capped?,2023-02-27,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.63,HIST_SOL_003_IC_Minutes.pdf,1,Yes
ICQ-0025,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,Curtailment,Has curtailment been independently assessed and stress-tested?,2023-03-16,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,High,0.7,HIST_SOL_003_IC_Minutes.pdf,2,Yes
ICQ-0026,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,Resource risk,Is the solar resource assessment independently validated and based on bankable data?,2023-04-02,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.77,HIST_SOL_003_IC_Minutes.pdf,3,Yes
ICQ-0027,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,Technology risk,"Are module, inverter and BESS technologies proven in similar operating conditions?",2023-04-19,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.84,HIST_SOL_003_IC_Minutes.pdf,4,Yes
ICQ-0028,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,BESS degradation,"Are degradation, cycle-life and augmentation assumptions clearly modelled?",2023-05-06,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,High,0.91,HIST_SOL_003_IC_Minutes.pdf,5,Yes
ICQ-0029,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,BESS revenue stack,Which BESS revenues are contracted and which rely on merchant ancillary markets?,2023-05-23,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.58,HIST_SOL_003_IC_Minutes.pdf,6,Yes
ICQ-0030,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,Land,Are land rights fully secured for the PPA and debt tenor plus extension period?,2023-06-09,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.65,HIST_SOL_003_IC_Minutes.pdf,7,Yes
ICQ-0031,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,Curtailment,Has curtailment been independently assessed and stress-tested?,2023-06-26,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Deferred,High,0.72,HIST_SOLB_004_IC_Minutes.pdf,8,Yes
ICQ-0032,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,Resource risk,Is the solar resource assessment independently validated and based on bankable data?,2023-07-13,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,Medium,0.79,HIST_SOLB_004_IC_Minutes.pdf,9,Yes
ICQ-0033,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,Technology risk,"Are module, inverter and BESS technologies proven in similar operating conditions?",2023-07-30,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,Medium,0.86,HIST_SOLB_004_IC_Minutes.pdf,10,Yes
ICQ-0034,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,BESS degradation,"Are degradation, cycle-life and augmentation assumptions clearly modelled?",2023-08-16,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Deferred,High,0.93,HIST_SOLB_004_IC_Minutes.pdf,11,Yes
ICQ-0035,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,BESS revenue stack,Which BESS revenues are contracted and which rely on merchant ancillary markets?,2023-09-02,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,High,0.6,HIST_SOLB_004_IC_Minutes.pdf,12,Yes
ICQ-0036,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,Land,Are land rights fully secured for the PPA and debt tenor plus extension period?,2023-09-19,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,High,0.67,HIST_SOLB_004_IC_Minutes.pdf,1,Yes
ICQ-0037,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,Permitting,"Are environmental, construction and operating permits complete and transferable?",2023-10-06,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Deferred,High,0.74,HIST_SOLB_004_IC_Minutes.pdf,2,Yes
ICQ-0038,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,ESG,"What community, biodiversity and livelihood risks remain open?",2023-10-23,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,Medium,0.81,HIST_SOLB_004_IC_Minutes.pdf,3,Yes
ICQ-0039,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,FX,"Are revenue, debt and capex currencies matched or hedged?",2023-11-09,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,High,0.88,HIST_SOLB_004_IC_Minutes.pdf,4,Yes
ICQ-0040,HIST_SOLB_004,Kalahari Storage Solar,Solar PV + BESS,South Africa,Development,Platform investment,Inflation,Which revenue and cost lines are indexed and what basis is used?,2023-11-26,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Deferred,Medium,0.55,HIST_SOLB_004_IC_Minutes.pdf,5,Yes
ICQ-0041,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,BESS revenue stack,Which BESS revenues are contracted and which rely on merchant ancillary markets?,2023-12-13,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Unresolved,Rejected,High,0.62,HIST_FLOAT_005_IC_Minutes.pdf,6,Yes
ICQ-0042,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,Land,Are land rights fully secured for the PPA and debt tenor plus extension period?,2023-12-30,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Unresolved,Rejected,High,0.69,HIST_FLOAT_005_IC_Minutes.pdf,7,Yes
ICQ-0043,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,Permitting,"Are environmental, construction and operating permits complete and transferable?",2024-01-16,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Rejected,High,0.76,HIST_FLOAT_005_IC_Minutes.pdf,8,Yes
ICQ-0044,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,ESG,"What community, biodiversity and livelihood risks remain open?",2024-02-02,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Unresolved,Rejected,Medium,0.83,HIST_FLOAT_005_IC_Minutes.pdf,9,Yes
ICQ-0045,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,FX,"Are revenue, debt and capex currencies matched or hedged?",2024-02-19,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Unresolved,Rejected,High,0.9,HIST_FLOAT_005_IC_Minutes.pdf,10,Yes
ICQ-0046,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,Inflation,Which revenue and cost lines are indexed and what basis is used?,2024-03-07,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Rejected,Medium,0.57,HIST_FLOAT_005_IC_Minutes.pdf,11,Yes
ICQ-0047,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,Interest rate,What proportion of debt is fixed or hedged and what is the downside sensitivity?,2024-03-24,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Unresolved,Rejected,Medium,0.64,HIST_FLOAT_005_IC_Minutes.pdf,12,Yes
ICQ-0048,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,Tax,Are tax assumptions supported by external advice and are incentives secure?,2024-04-10,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Unresolved,Rejected,Medium,0.71,HIST_FLOAT_005_IC_Minutes.pdf,1,Yes
ICQ-0049,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,Accounting,"What are the consolidation, purchase-price allocation and impairment implications?",2024-04-27,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Rejected,Medium,0.78,HIST_FLOAT_005_IC_Minutes.pdf,2,Yes
ICQ-0050,HIST_FLOAT_005,Mekong Float,Floating solar,Vietnam,Development,Greenfield equity,Governance,Do the shareholder arrangements provide effective control and reserved-matter protections?,2024-05-14,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Unresolved,Rejected,High,0.85,HIST_FLOAT_005_IC_Minutes.pdf,3,Yes
ICQ-0051,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,FX,"Are revenue, debt and capex currencies matched or hedged?",2024-05-31,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.92,HIST_WIND_006_IC_Minutes.pdf,4,Yes
ICQ-0052,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Inflation,Which revenue and cost lines are indexed and what basis is used?,2024-06-17,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,Medium,0.59,HIST_WIND_006_IC_Minutes.pdf,5,Yes
ICQ-0053,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Interest rate,What proportion of debt is fixed or hedged and what is the downside sensitivity?,2024-07-04,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.66,HIST_WIND_006_IC_Minutes.pdf,6,Yes
ICQ-0054,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Tax,Are tax assumptions supported by external advice and are incentives secure?,2024-07-21,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.73,HIST_WIND_006_IC_Minutes.pdf,7,Yes
ICQ-0055,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Accounting,"What are the consolidation, purchase-price allocation and impairment implications?",2024-08-07,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,Medium,0.8,HIST_WIND_006_IC_Minutes.pdf,8,Yes
ICQ-0056,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Governance,Do the shareholder arrangements provide effective control and reserved-matter protections?,2024-08-24,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.87,HIST_WIND_006_IC_Minutes.pdf,9,Yes
ICQ-0057,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Minority protection,What protections apply if the group does not own 100%?,2024-09-10,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.94,HIST_WIND_006_IC_Minutes.pdf,10,Yes
ICQ-0058,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Exit,What are the realistic exit routes and terminal-value assumptions?,2024-09-27,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,Medium,0.61,HIST_WIND_006_IC_Minutes.pdf,11,Yes
ICQ-0059,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Counterparty,"What are the EPC, O&M and key supplier counterparty exposures?",2024-10-14,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.68,HIST_WIND_006_IC_Minutes.pdf,12,Yes
ICQ-0060,HIST_WIND_006,Atlas Wind,Onshore wind,Morocco,Operating,Majority acquisition,Supply chain,Are module and battery supply-chain risks adequately mitigated?,2024-10-31,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.75,HIST_WIND_006_IC_Minutes.pdf,1,Yes
ICQ-0061,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Accounting,"What are the consolidation, purchase-price allocation and impairment implications?",2024-11-17,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,Medium,0.82,HIST_SOL_007_IC_Minutes.pdf,2,Yes
ICQ-0062,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Governance,Do the shareholder arrangements provide effective control and reserved-matter protections?,2024-12-04,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.89,HIST_SOL_007_IC_Minutes.pdf,3,Yes
ICQ-0063,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Minority protection,What protections apply if the group does not own 100%?,2024-12-21,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,Medium,0.56,HIST_SOL_007_IC_Minutes.pdf,4,Yes
ICQ-0064,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Exit,What are the realistic exit routes and terminal-value assumptions?,2025-01-07,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,Medium,0.63,HIST_SOL_007_IC_Minutes.pdf,5,Yes
ICQ-0065,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Counterparty,"What are the EPC, O&M and key supplier counterparty exposures?",2025-01-24,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.7,HIST_SOL_007_IC_Minutes.pdf,6,Yes
ICQ-0066,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Supply chain,Are module and battery supply-chain risks adequately mitigated?,2025-02-10,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,Medium,0.77,HIST_SOL_007_IC_Minutes.pdf,7,Yes
ICQ-0067,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Insurance,"Are delay-in-start-up, natural catastrophe and battery fire risks insured?",2025-02-27,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,Medium,0.84,HIST_SOL_007_IC_Minutes.pdf,8,Yes
ICQ-0068,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Cybersecurity,"Are plant-control, EMS and remote-access cybersecurity risks covered?",2025-03-16,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,Medium,0.91,HIST_SOL_007_IC_Minutes.pdf,9,Yes
ICQ-0069,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Decommissioning,Are decommissioning and battery-disposal obligations funded?,2025-04-02,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,Medium,0.58,HIST_SOL_007_IC_Minutes.pdf,10,Yes
ICQ-0070,HIST_SOL_007,Desert Ray,Solar PV,UAE,Construction,Platform add-on,Strategic fit,How does the transaction advance target technology and geography priorities?,2025-04-19,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,High,0.65,HIST_SOL_007_IC_Minutes.pdf,11,Yes
ICQ-0071,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Counterparty,"What are the EPC, O&M and key supplier counterparty exposures?",2025-05-06,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,High,0.72,HIST_BESS_008_IC_Minutes.pdf,12,Yes
ICQ-0072,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Supply chain,Are module and battery supply-chain risks adequately mitigated?,2025-05-23,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,Medium,0.79,HIST_BESS_008_IC_Minutes.pdf,1,Yes
ICQ-0073,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Insurance,"Are delay-in-start-up, natural catastrophe and battery fire risks insured?",2025-06-09,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Deferred,Medium,0.86,HIST_BESS_008_IC_Minutes.pdf,2,Yes
ICQ-0074,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Cybersecurity,"Are plant-control, EMS and remote-access cybersecurity risks covered?",2025-06-26,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,Medium,0.93,HIST_BESS_008_IC_Minutes.pdf,3,Yes
