source_id,source_name,source_type,source_url,target_folder,target_filename,technology,country,intended_poc_use,notes
ADB_005,Gulf Solar and BESS Social Compliance Audit Report,Project page/PDF,https://www.adb.org/sites/default/files/project-documents/57173/57173-001-scar-en.pdf,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Gulf_Solar_BESS_SCAR.pdf,Solar PV / BESS,Thailand,"RAG project-finance style docs, E&S risks, project description, mitigants",
ADB_006,Gulf Solar and BESS Initial Environmental Examination,Project page/PDF,https://www.adb.org/sites/default/files/project-documents/57173/57173-001-iee-en_1.pdf,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Gulf_Solar_BESS_IEE.pdf,Solar PV / BESS,Thailand,"RAG project-finance style docs, E&S risks, project description, mitigants",
ADB_007,Utility-Scale BESS Project Page,Project page/PDF,https://www.adb.org/projects/59110-001/main,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Utility_Scale_BESS_Project_Page.html,BESS,Cambodia,"RAG project-finance style docs, E&S risks, project description, mitigants",
ADB_008,Utility-Scale BESS Project Printable PDF,Project page/PDF,https://www.adb.org/node/1065411/printable/pdf,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Utility_Scale_BESS_Project_Printable.pdf,BESS,Cambodia,"RAG project-finance style docs, E&S risks, project description, mitigants",
ADB_009,Energy Storage and Green Hydrogen Development Project Page,Project page/PDF,https://www.adb.org/projects/54448-001/main,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Energy_Storage_Green_Hydrogen_Project_Page.html,Energy Storage / Green Hydrogen,India,"RAG project-finance style docs, E&S risks, project description, mitigants",
ADB_010,Floating Solar Energy Project Page,Project page/PDF,https://www.adb.org/projects/51327-001/main,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Floating_Solar_Project_Page.html,Floating Solar,Multiple,"RAG project-finance style docs, E&S risks, project description, mitigants",
PPI_001,World Bank PPI Custom Query,https://ppi.worldbank.org/en/ppidata,Structured dataset / manual export,02_Benchmark_and_Market_Data/World_Bank_PPI,WorldBank_PPI_Energy_Renewables_2010_Latest.xlsx,Energy / Infrastructure,Global,K-means comparable project clustering and investment benchmarking,Manual UI export recommended
NREL_001,NREL ATB 2024 v3 Model Parameters,https://data.openei.org/files/6006/2024_v3_Model_Parameters.csv,CSV,02_Benchmark_and_Market_Data/NREL_ATB,2024_v3_Model_Parameters.csv,Renewables cost/performance,US / benchmark,"Cost, capacity factor, LCOE benchmarks",
NREL_002,NREL ATB 2024 v3 Workbook,https://data.openei.org/files/6006/2024_v3_Workbook.xlsx,Excel workbook,02_Benchmark_and_Market_Data/NREL_ATB,2024_v3_Workbook_Corrected_04_02_2025.xlsx,Renewables cost/performance,US / benchmark,"Cost, capacity factor, LCOE benchmarks",Source page shows corrected workbook; direct file endpoint may use shorter filename
IRENA_001,IRENASTAT Power Capacity and Generation,https://pxweb.irena.org/pxweb/en/IRENASTAT/,CSV / manual export / PxWeb API,02_Benchmark_and_Market_Data/IRENASTAT,IRENASTAT_Electricity_Generation_By_Country_Technology_2010_Latest.csv,Renewable generation/capacity,Selected demo countries,ARIMA and market-growth trend analysis,Manual export recommended because PxWeb table path can vary
WDI_001,World Bank WDI - GDP Growth,API JSON/CSV,https://api.worldbank.org/v2/country/ARE;SAU;IND;EGY;JOR;ZAF;THA;KHM;UZB;AUS/indicator/NY.GDP.MKTP.KD.ZG?format=json&per_page=20000&date=2010:2025,02_Benchmark_and_Market_Data/World_Bank_WDI,WDI_GDP_Growth_2010_2025.csv,Macro,Selected demo countries,Macro overlay for ARIMA/regression reasonableness,
WDI_002,World Bank WDI - Inflation,API JSON/CSV,https://api.worldbank.org/v2/country/ARE;SAU;IND;EGY;JOR;ZAF;THA;KHM;UZB;AUS/indicator/FP.CPI.TOTL.ZG?format=json&per_page=20000&date=2010:2025,02_Benchmark_and_Market_Data/World_Bank_WDI,WDI_Inflation_2010_2025.csv,Macro,Selected demo countries,Macro overlay for ARIMA/regression reasonableness,
WDI_003,World Bank WDI - Official Exchange Rate,API JSON/CSV,https://api.worldbank.org/v2/country/ARE;SAU;IND;EGY;JOR;ZAF;THA;KHM;UZB;AUS/indicator/PA.NUS.FCRF?format=json&per_page=20000&date=2010:2025,02_Benchmark_and_Market_Data/World_Bank_WDI,WDI_Official_Exchange_Rate_2010_2025.csv,Macro,Selected demo countries,Macro overlay for ARIMA/regression reasonableness,
WDI_004,World Bank WDI - GDP Current USD,API JSON/CSV,https://api.worldbank.org/v2/country/ARE;SAU;IND;EGY;JOR;ZAF;THA;KHM;UZB;AUS/indicator/NY.GDP.MKTP.CD?format=json&per_page=20000&date=2010:2025,02_Benchmark_and_Market_Data/World_Bank_WDI,WDI_GDP_Current_USD_2010_2025.csv,Macro,Selected demo countries,Macro overlay for ARIMA/regression reasonableness,
SEC_001,NextEra Energy SEC submissions,SEC API JSON,https://data.sec.gov/submissions/CIK0000753308.json,01_RAG_Public_Deal_Documents/SEC_Annual_Reports_and_Filings,NextEra_Energy_submissions.json,Renewables / Utility,US,"Find latest 10-K, RAG risk factors and strategy",
SEC_001_XBRL,NextEra Energy SEC company facts,SEC XBRL API JSON,https://data.sec.gov/api/xbrl/companyfacts/CIK0000753308.json,02_Benchmark_and_Market_Data/SEC_XBRL,NextEra_Energy_companyfacts.json,Renewables / Utility,US,Structured financial metrics and benchmarking,
SEC_002,AES Corporation SEC submissions,SEC API JSON,https://data.sec.gov/submissions/CIK0000874761.json,01_RAG_Public_Deal_Documents/SEC_Annual_Reports_and_Filings,AES_Corporation_submissions.json,Renewables / Utility,US,"Find latest 10-K, RAG risk factors and strategy",
SEC_002_XBRL,AES Corporation SEC company facts,SEC XBRL API JSON,https://data.sec.gov/api/xbrl/companyfacts/CIK0000874761.json,02_Benchmark_and_Market_Data/SEC_XBRL,AES_Corporation_companyfacts.json,Renewables / Utility,US,Structured financial metrics and benchmarking,
SEC_003,First Solar SEC submissions,SEC API JSON,https://data.sec.gov/submissions/CIK0001274494.json,01_RAG_Public_Deal_Documents/SEC_Annual_Reports_and_Filings,First_Solar_submissions.json,Renewables / Utility,US,"Find latest 10-K, RAG risk factors and strategy",
SEC_003_XBRL,First Solar SEC company facts,SEC XBRL API JSON,https://data.sec.gov/api/xbrl/companyfacts/CIK0001274494.json,02_Benchmark_and_Market_Data/SEC_XBRL,First_Solar_companyfacts.json,Renewables / Utility,US,Structured financial metrics and benchmarking,
SEC_004,Ormat Technologies SEC submissions,SEC API JSON,https://data.sec.gov/submissions/CIK0001296445.json,01_RAG_Public_Deal_Documents/SEC_Annual_Reports_and_Filings,Ormat_Technologies_submissions.json,Renewables / Utility,US,"Find latest 10-K, RAG risk factors and strategy",
SEC_004_XBRL,Ormat Technologies SEC company facts,SEC XBRL API JSON,https://data.sec.gov/api/xbrl/companyfacts/CIK0001296445.json,02_Benchmark_and_Market_Data/SEC_XBRL,Ormat_Technologies_companyfacts.json,Renewables / Utility,US,Structured financial metrics and benchmarking,
SEC_005,Enphase Energy SEC submissions,SEC API JSON,https://data.sec.gov/submissions/CIK0001463101.json,01_RAG_Public_Deal_Documents/SEC_Annual_Reports_and_Filings,Enphase_Energy_submissions.json,Renewables / Utility,US,"Find latest 10-K, RAG risk factors and strategy",
SEC_005_XBRL,Enphase Energy SEC company facts,SEC XBRL API JSON,https://data.sec.gov/api/xbrl/companyfacts/CIK0001463101.json,02_Benchmark_and_Market_Data/SEC_XBRL,Enphase_Energy_companyfacts.json,Renewables / Utility,US,Structured financial metrics and benchmarking,
